ortsteil,einwohner,flaeche,dichte
Zentrum,1810,0.74,2446
Zentrum-Ost,4642,1.62,2865
Zentrum-Südost,14061,3.13,4492
Zentrum-Süd,13193,1.56,8457
Zentrum-West,10948,1.65,6635
Zentrum-Nordwest,10688,3.96,2699
Zentrum-Nord,9187,1.31,7013
Schönefeld-Abtnaundorf,12788,2.92,4379
Schönefeld-Ost,9930,3.19,3113
Mockau-Süd,4693,1.26,3725
Mockau-Nord,11054,4.51,2451
Thekla,5882,7.14,824
Plaußig-Portitz,2635,7.3,361
Neustadt-Neuschönefeld,12687,0.85,14926
Volkmarsdorf,12676,1.04,12188
Anger-Crottendorf,11781,1.9,6201
Sellerhausen-Stünz,9075,3,3025
Paunsdorf,14298,3.93,3638
Heiterblick,3723,3.28,1135
Mölkau,5989,5.26,1139
Engelsdorf,9412,8.21,1146
Baalsdorf,1814,3.88,468
Althen-Kleinpösna,2177,9.4,232
Reudnitz-Thonberg,21853,2.03,10765
Stötteritz,16974,3.68,4613
Probstheida,6518,4.86,1341
Meusdorf,3417,1.95,1752
Liebertwolkwitz,5364,9.27,579
Holzhausen,6440,12.92,498
Südvorstadt,25417,2.41,10546
Connewitz,18769,7.39,2540
Marienbrunn,6179,1.19,5192
Lößnig,11052,1.74,6352
Dölitz-Dösen,4697,4.21,1116
Schleußig,12830,2.11,6081
Plagwitz,15798,1.73,9132
Kleinzschocher,10054,3.04,3307
Großzschocher,9140,15.51,589
Knautkleeberg-Knauthain,5549,8.33,666
Hartmannsdorf-Knautnaundorf,1356,15.84,86
Schönau,4638,3.07,1511
Grünau-Ost,7815,1.05,7443
Grünau-Mitte,13305,1.24,10730
Grünau-Siedlung,3855,1.58,2440
Lausen-Grünau,12921,3.76,3436
Grünau-Nord,8591,0.95,9043
Miltitz,1945,3.05,638
Lindenau,8248,0.99,8331
Altlindenau,17272,2.38,7257
Neulindenau,7038,2.5,2815
Leutzsch,10360,4.55,2277
Böhlitz-Ehrenberg,10248,8.67,1182
Burghausen-Rückmarsdorf,4761,7.12,669
Möckern,14972,4.86,3031
Wahren,7070,4.54,1557
Lützschena-Stahmeln,4026,16.84,239
Lindenthal,6578,12.82,513
Gohlis-Süd,18603,1.99,9348
Gohlis-Mitte,16935,1.29,13128
Gohlis-Nord,9115,2.04,4468
Eutritzsch,14550,4.63,3143
Seehausen,2345,18.85,124
Wiederitzsch,8578,9.81,874
